,times,0,1,20
0,9.999999999999999e-06,0.03149304927039724,0.02543678594201719,0.016008150414124477
1,1.1357333583431052e-05,0.03560984668446324,0.028782521180536487,0.018140058856368418
2,1.289890261253308e-05,0.04024164749715764,0.032552522864289654,0.020549735216614573
3,1.464971398307285e-05,0.045446528020966354,0.03679622117982211,0.023271637684688314
4,1.6638168860761273e-05,0.0512874064719886,0.041567605411933196,0.026344014710087685
5,1.8896523396912115e-05,0.057831948955774516,0.04692530730091262,0.029809185776379768
6,2.1461411978584056e-05,0.06515236216011887,0.05293260589248188,0.033713802223368165
7,2.4374441501222216e-05,0.07332497513595086,0.059657247606253724,0.03810907210833155
8,2.7682866303920665e-05,0.08242955305865234,0.06717114166148325,0.04305092801666624
9,3.1440354715915e-05,0.09254832241166076,0.07554983354982416,0.04860013123872445
10,3.5707859649004625e-05,0.10376467175357935,0.08487168334391589,0.05482224828559569
11,4.0554607358408275e-05,0.11616155127267283,0.095216734795338,0.06178749890958505
12,4.6059220411451034e-05,0.12981928505397314,0.10666523844232272,0.0695704417228505
13,5.231099308056258e-05,0.14481306912322317,0.11929591255386511,0.07824941417640567
14,5.94113398496504e-05,0.1612101970176885,0.13318356415754515,0.08790568342549578
15,6.7475440531107e-05,0.17906659548648027,0.14839640108067498,0.09862229732793784
16,7.663410868007462e-05,0.19842343842237303,0.16499318805867755,0.11048263603258301
17,8.703591361485167e-05,0.2193032446407895,0.183019657699597,0.1235684918682224
18,9.884959046625586e-05,0.241706491488797,0.2025051480148777,0.1379576659864664
19,0.00011226677735108136,0.2656079982300202,0.22345874029288093,0.15372136762894945
20,0.00012750512407130128,0.29095415570738076,0.24586615084454438,0.17092102034634327
21,0.0001448118227674533,0.3176609451891055,0.26968637146805136,0.18960482569241008
22,0.00016446761779946643,0.3456129150088553,0.2948494009388471,0.20980407520083286
23,0.00018679135990207828,0.3746635561322498,0.3212549080993595,0.23152953207143692
24,0.00021214517849106298,0.4046372067591069,0.3487717980893508,0.254767819260794
25,0.0002409403560239527,0.43533229581516725,0.37723947832307514,0.2794783127890894
26,0.0002736439997074672,0.4665262403572049,0.40647046829326,0.3055907915109539
27,0.0003107866187782014,0.49798152275539115,0.43625440517526143,0.3330037926568316
28,0.00035297073027306503,0.5294526527291283,0.46636357226337344,0.3615845712576747
29,0.00040088063288984643,0.5606935915694546,0.4965593419211511,0.3911700987369595
30,0.00045529350748669476,0.5914654207251946,0.5265994178629786,0.4215698414837166
31,0.000517092024289676,0.6215432390670272,0.556245242166596,0.4525699506228519
32,0.0005872786613189483,0.6507225589184759,0.585269143635292,0.48393874731113684
33,0.0006669919663030121,0.678824137631286,0.6134610720144199,0.5154333373465878
34,0.000757525025877192,0.7056975862311846,0.6406338339979594,0.5468070298305465
35,0.0008603464416684508,0.7312234440402137,0.6666275424150697,0.5778168067543552
36,0.00097712415353465,0.755313680735021,0.6913121223546808,0.6082306993099468
37,0.0011097524964120721,0.7779108926658723,0.7145884997481682,0.637834423371602
38,0.0012603829296797273,0.7989863981816095,0.7363885749594309,0.6664369382720238
39,0.0014314589375234801,0.8185375486122559,0.7566736478838331,0.6938746320114703
40,0.0016257556664437951,0.8365842777890398,0.7754321437598162,0.720014144838434
41,0.0018464249428955444,0.8531655416696206,0.7926764621936795,0.7447534001342575
42,0.0020970464013232324,0.8683356015759235,0.8084396626409334,0.7680215619819005
43,0.002381685551976158,0.8821604477182822,0.8227716845124553,0.7897774182234041
44,0.002704959730463137,0.8947144702132208,0.8357357916137986,0.8100070818613319
45,0.003072112998861759,0.9060774974737273,0.8474051902210976,0.8287208770925582
46,0.0034891012134067737,0.9163322389816988,0.8578599464135922,0.8459497249980691
47,0.003962688638701478,0.9255621439219783,0.8671842683095364,0.8617415183919177
48,0.004500557675700497,0.9338496719070855,0.8754642146587409,0.8761574421452634
49,0.005111433483440171,0.9412749582465674,0.882785819448302,0.889268531189371
50,0.005805225516094902,0.9479147914240913,0.8892336043042649,0.9011525323030907
51,0.006593188271333548,0.9538419366768915,0.8948894432168396,0.9118911599374753
52,0.007488103857590023,0.9591246814529717,0.899831735889322,0.9215677667835319
53,0.008504489341802686,0.963826560912099,0.9041348416978481,0.9302654437460447
54,0.009658832241158708,0.968006272454763,0.9078687262016423,0.9380655018683485
55,0.010969857978923839,0.9717177232290446,0.9110987957033035,0.9450463219521686
56,0.012458833642950081,0.975010140701611,0.9138858463654718,0.9512825430205981
57,0.01414991297434576,0.9779283010639747,0.9162861255157665,0.956844498761158
58,0.016070528182616402,0.9805127642860211,0.9183514797730272,0.9617978510482528
59,0.01825183494319044,0.9828001233300033,0.9201295305188638,0.9662034629938033
60,0.02072921779595372,0.9848233164881726,0.9216638530095194,0.9701173598679647
61,0.02354286414322418,0.9866118888696138,0.9229942196107753,0.9735908303380012
62,0.026738416158399492,0.9881922972109317,0.9241568118698955,0.9766706165103095
63,0.030367711180354605,0.989588188785532,0.9251844286354661,0.9793991298657949
64,0.0344896226040576,0.9908206512276183,0.9261067254313216,0.9818146894096087
65,0.039171014908092605,0.9919084711025419,0.9269504058451876,0.9839518332577137
66,0.04448782831127586,0.9928683444340561,0.927739373482359,0.9858415763905489
67,0.050526310653356846,0.9937150936166834,0.9284949272727556,0.9875117214826584
68,0.05738441648302398,0.9944618811255834,0.9292358808057637,0.9889871402989276
69,0.06517339604882427,0.9951203897748782,0.9299787205283846,0.9902900248571254
70,0.07401959996915644,0.995700947549809,0.9307377393091723,0.991440164414798
71,0.08406652885618333,0.9962127212888973,0.9315251465782798,0.9924551507080652
72,0.09547716114208066,0.9966637912476528,0.9323511695075957,0.9933506154573013
73,0.10843659686896108,0.9970612945366025,0.9332241722251295,0.9941404468770936
74,0.12315506032928263,0.9974115511261978,0.9341507376493987,0.9948369703892203
75,0.13987131026472388,0.9977201571040228,0.935135795613967,0.9954510909691381
76,0.15885651294280526,0.9979920413733905,0.9361827337459334,0.9959924869073409
77,0.18041864093920718,0.9982315676189497,0.9372934740363048,0.9964696869754576
78,0.20490746898158502,0.9984425762444905,0.938468612665589,0.9968902366001707
79,0.2327202478960412,0.9986284484498082,0.939707504153782,0.9972608205698281
80,0.2643081486974108,0.99879216557139,0.9410083742386806,0.9975873510643581
81,0.3001835813575592,0.9989363589412836,0.9423684656656258,0.9978750420268329
82,0.3409285069746814,0.9990633514099778,0.9437841627778526,0.9981285043064055
83,0.3872038781812557,0.9991751922896349,0.9452510878606285,0.998351793930937
84,0.4397603609302721,0.9992736878147258,0.9467642434397,0.9985484846198039
85,0.499450511585514,0.9993604280385979,0.9483181163056342,0.9987217316136647
86,0.5672426068491978,0.9994368138699604,0.9499067950934872,0.9988743217696413
87,0.6442363508721383,0.999504085354814,0.9515240905193544,0.9990087128261661
88,0.7316807143427208,0.9995633354052653,0.9531636466815315,0.9991270737528328
89,0.8309941949353403,0.9996155202656423,0.954819043215606,0.9992313100595956
90,0.9437878277775391,0.9996614658475339,0.956483888089644,0.9993231060146501
91,1.0718913192051285,0.9997018957774568,0.9581518999229058,0.9994039452845223
92,1.217382727739662,0.9997374990821224,0.9598169783607482,0.999475132200199
93,1.3826221737646562,0.9997688636542429,0.961473265340379,0.9995378233563956
94,1.5702901247293775,0.9997965161191057,0.9631152169017162,0.9995930413022768
95,1.7834308769319094,0.9998207892168886,0.9647376836793692,0.9996416807004901
96,2.0255019392306663,0.999842150888349,0.9663358904003834,0.999684509008054
