,times,gauss,flat
0,0.001,0.0010071100836969015,0.014078913274415902
1,0.001096985797892384,0.0011043537503326447,0.015408185412526405
2,0.0012033778407775893,0.0012109412914130219,0.01685920710025643
3,0.001320088400831418,0.0013277612927074269,0.018442387557978963
4,0.001448118227674533,0.0014557849757177894,0.020168879929306126
5,0.0015885651294280526,0.001596073504866493,0.022050605306695253
6,0.0017426333860096506,0.0017497858637290197,0.02410027110960394
7,0.001911644075385702,0.0019181873286057227,0.026331382179398954
8,0.0020970464013232324,0.0021026585651290467,0.028758242721290853
9,0.002300430119772917,0.002304705370293244,0.03139594698213999
10,0.0025235391704347657,0.0025259690773735315,0.034260356309992655
11,0.0027682866303920667,0.0027682376346925656,0.03736805999651721
12,0.0030367711180354575,0.003033457360444061,0.040736317050482536
13,0.0033312947879346735,0.0033237453653090095,0.04438297576209795
14,0.003654383070957254,0.0036414026199451405,0.04832636753347477
15,0.004008806328898464,0.0039889276281499676,0.05258517083819555
16,0.004397603609302721,0.004369030644598335,0.0571782400852819
17,0.004824108704165368,0.004784648350821536,0.06212439214015978
18,0.005291978735958442,0.005238958872184059,0.06744213948677244
19,0.005805225516094896,0.005735396981510055,0.07314935209630466
20,0.006368249944718586,0.006277669292139959,0.07926281761313698
21,0.006985879746785249,0.00686976919185786,0.08579766457180274
22,0.007663410868007463,0.007515991210564988,0.09276750274343118
23,0.008406652885618324,0.0082209444466052,0.10018336337395597
24,0.009221978823334321,0.008989564599577525,0.10805315911440838
25,0.01011637979766207,0.009827124069577496,0.11638160490418888
26,0.011097524964120722,0.010739239484712209,0.12516974420644592
27,0.012173827277396614,0.011731875907575481,0.134414314672867
28,0.013354515629298987,0.012811346847106548,0.14410670784539162
29,0.014649713983072856,0.013984309060086379,0.15423281812484477
30,0.01607052818261639,0.015257750961619338,0.16477102646124592
31,0.01762914118095948,0.016638975515854533,0.17569396736818702
32,0.01933891750455231,0.01813560998400758,0.18696880877058708
33,0.021214517849106298,0.019755497266182268,0.19855518934332975
34,0.023272024789604086,0.021506657919339818,0.2104045453103214
35,0.025529080682395178,0.023397246421567413,0.22245971293131447
36,0.02800503894183631,0.02543547769694917,0.2346601819196492
37,0.030721129988617576,0.027629540389222534,0.2469402004346821
38,0.03370064329271928,0.029987496575313296,0.2592275721539667
39,0.036969127071950283,0.0325171487835338,0.2714431793764489
40,0.040554607358408296,0.035225909019155004,0.28350872357402135
41,0.04448782831127586,0.038120715681647176,0.29534255699802836
42,0.04880251583654431,0.04120782254514418,0.30686037493454305
43,0.05353566677410724,0.04449258961470576,0.317985497239757
44,0.058727866131894825,0.04797924387035781,0.3286367979133624
45,0.06442363508721373,0.05167073919021217,0.33873660919716947
46,0.07067181273927492,0.05556825665146496,0.3482219173963616
47,0.0775259748862946,0.05967134566196724,0.35702543103313616
48,0.08504489341802676,0.06397786775691107,0.3650915209857619
49,0.09329304026284686,0.06848382072145577,0.37237691002491485
50,0.10234114021054527,0.0731830301030578,0.37884041229956383
51,0.11226677735108136,0.07806699087260834,0.384456038522383
52,0.12315506032928263,0.08312432206590806,0.3892040965304146
53,0.13509935211980265,0.08834210613694213,0.3930792118855306
54,0.14820207057988585,0.09370595978249929,0.39607769539697424
55,0.1625755666443795,0.09919916773294825,0.398217162853576
56,0.17834308769319093,0.10480188654077968,0.39951085934059094
57,0.19563983435170645,0.11049334715423509,0.3999918151028205
58,0.21461411978584036,0.11625263802717632,0.39969331521809515
59,0.23542864143224176,0.12205736930331872,0.3986571244756035
60,0.2582618760682677,0.12788404116391971,0.3969356422177782
61,0.2833096101839324,0.13371046841809212,0.3945763181037903
62,0.3107866187782014,0.13951331242794576,0.39164563439103356
63,0.3409285069746811,0.14526974339278612,0.38819577780130843
64,0.3739937302478798,0.15096118975386935,0.38430170547017795
65,0.41026581058271944,0.15656634905076003,0.3800186814172603
66,0.4500557675700497,0.16206679779489255,0.3754256430484304
67,0.4937047852839004,0.16744853895590645,0.3705786679255986
68,0.541587137807947,0.17269542564637597,0.36555653751091666
69,0.5941133984965034,0.17779619193045382,0.3604133797075193
70,0.6517339604882427,0.18274028798232836,0.35522404475998876
71,0.7149428986597577,0.187520462894925,0.3500375298795784
72,0.7842822061337681,0.19212875155857603,0.34492122058601243
73,0.86034644166845,0.19656298040139902,0.3399156372269111
74,0.9437878277775381,0.20081850435030557,0.33507749598879943
75,1.0353218432956626,0.2048953630977091,0.3304357595770547
76,1.135733358343105,0.20879359498730257,0.3260339509717673
77,1.245883364295008,0.2125138063295255,0.32188724061898055
78,1.3667163564620073,0.21606014160460338,0.31802463776941975
79,1.4992684327860457,0.21943381733064657,0.3144467367612317
80,1.6446761779946644,0.22264140544195793,0.3111683808792311
81,1.8041864093920719,0.2256852277156939,0.3081766570404291
82,1.9791668678535574,0.22857280020055423,0.30547437882752515
83,2.171117945694505,0.23130766989903667,0.30303802418951914
84,2.381685551976158,0.23389742977590544,0.3008618755442624
85,2.612675225563329,0.23634669410150072,0.2989160133087862
86,2.8660676169482504,0.23866263381023511,0.29719011323006755
87,3.1440354715914998,0.24085064812638324,0.2956525346262372
88,3.4489622604057595,0.2429172642292999,0.2942915693575101
89,3.7834626171319288,0.24486832014266732,0.2930781456723807
90,4.150404757850477,0.2467096718185053,0.29200083314763003
91,4.552935074866948,0.2484473598221521,0.2910364831330284
92,4.99450511585514,0.25008618733067,0.2901738014537055
93,5.478901179593945,0.25163171889097363,0.2893978213298102
94,6.010276782070382,0.2530907310625728,0.28869589917373567
95,6.593188271333548,0.2544652505930896,0.28806244012634985
