,time,density
0,0.001,0.005710859132350099
1,0.001135733358343105,0.006476892120363227
2,0.001289890261253308,0.007344294893866226
3,0.0014649713983072863,0.008326088356076082
4,0.001663816886076129,0.009436854555273502
5,0.0018896523396912098,0.010692892306700614
6,0.0021461411978584036,0.012112379189783378
7,0.0024374441501222215,0.013715537161242453
8,0.0027682866303920667,0.015524797927901854
9,0.0031440354715914997,0.017564962735568432
10,0.0035707859649004624,0.019863349700855883
11,0.004055460735840828,0.022449919679397697
12,0.004605922041145103,0.025357369307763562
13,0.005231099308056263,0.028621177635037427
14,0.0059411339849650335,0.032279589461478075
15,0.006747544053110692,0.03637351638180374
16,0.007663410868007463,0.04094633334706669
17,0.008703591361485167,0.04604354697134542
18,0.009884959046625586,0.05171231053049143
19,0.011226677735108137,0.058000761126517995
20,0.012750512407130135,0.06495715717304207
21,0.014481182276745337,0.07262880003470756
22,0.016446761779946643,0.08106073279031197
23,0.01867913599020783,0.09029422269150907
24,0.021214517849106298,0.10036505127664182
25,0.02409403560239526,0.11130165827187961
26,0.027364399970746703,0.1231232097237283
27,0.03107866187782014,0.13583768653830983
28,0.0352970730273065,0.1494401130228949
29,0.04008806328898466,0.16391106303541012
30,0.045529350748669505,0.17921558895140388
31,0.05170920242896761,0.19530271331954877
32,0.058727866131894825,0.21210560092361935
33,0.06669919663030122,0.2295424897424359
34,0.07575250258771916,0.24751840543453177
35,0.08603464416684505,0.2659276190237271
36,0.097712415353465,0.2846567400623645
37,0.11097524964120721,0.3035882756809837
38,0.12603829296797275,0.3226044384082305
39,0.14314589375234799,0.3415909600607584
40,0.1625755666443795,0.3604406685041197
41,0.18464249428955445,0.37905660952931874
42,0.2097046401323233,0.3973545423478498
43,0.23816855519761582,0.4152646987159512
44,0.2704959730463137,0.4327327620458047
45,0.3072112998861759,0.449720086775587
46,0.34891012134067734,0.466203231816512
47,0.3962688638701478,0.4821729208591813
48,0.4500557675700497,0.49763256400501815
49,0.5111433483440171,0.512596482216838
50,0.5805225516094901,0.5270879682250836
51,0.6593188271333548,0.541137301700283
52,0.7488103857590023,0.5547798141336943
53,0.8504489341802686,0.5680540747713934
54,0.9658832241158709,0.5810002458993709
55,1.096985797892384,0.5936586352931316
56,1.245883364295008,0.6060684571129634
57,1.414991297434576,0.6182668000202327
58,1.60705281826164,0.6302877928546124
59,1.8251834943190444,0.642161953134779
60,2.072921779595372,0.6539157012485908
61,2.354286414322418,0.665571022904187
62,2.673841615839949,0.6771452633020708
63,3.0367711180354604,0.688651038199154
64,3.4489622604057595,0.7000962489694279
65,3.917101490809261,0.7114841905630918
66,4.448782831127586,0.7228137430739084
67,5.052631065335684,0.7340796382342234
68,5.738441648302399,0.7452727926732712
69,6.517339604882427,0.7563807008180755
70,7.401959996915645,0.7673878778391962
71,8.406652885618334,0.7782763448748676
72,9.547716114208066,0.7890261449600909
73,10.843659686896109,0.799615880238274
74,12.315506032928262,0.8100232571619772
75,13.987131026472385,0.8202256280345561
76,15.885651294280528,0.8302005163259033
77,18.04186409392072,0.8399261133301769
78,20.490746898158502,0.849381734941618
79,23.27202478960412,0.8585482285587449
80,26.430814869741084,0.8674083220208549
81,30.01835813575592,0.8759469080253798
82,34.092850697468144,0.884151261521535
83,38.720387818125566,0.8920111877638942
84,43.97603609302721,0.8995191018789738
85,49.9450511585514,0.9066700453092997
86,56.72426068491978,0.9134616421770979
87,64.42363508721384,0.9198940028337034
88,73.16807143427206,0.9259695836265912
89,83.09941949353403,0.9316930099239672
90,94.37878277775391,0.9370708719990279
91,107.18913192051286,0.9421115013739763
92,121.7382727739662,0.9468247370083817
93,138.26221737646563,0.951221685420317
94,157.02901247293775,0.9553144893102489
95,178.3430876931909,0.9591160948034476
96,202.55019392306664,0.962640042630924
97,230.04301197729214,0.9659002637635326
98,261.2675225563332,0.9689108999637107
99,296.73024081888724,0.9716861420204859
100,337.00643292719315,0.9742400872694631
101,382.7494478516315,0.9765866161533687
102,434.7013158125026,0.9787392911156961
103,493.7047852839004,0.9807112710847079
104,560.7169938205458,0.9825152421228887
105,636.8249944718586,0.9841633658036942
106,723.2633896483547,0.985667247254209
107,821.4343584919438,0.9870378991832187
108,932.9304026284696,0.9882857333246218
109,1059.560179277617,0.9894205604007162
110,1203.3778407775903,0.9904515805523467
111,1366.7163564620073,0.9913874007164495
112,1552.225357427048,0.9922360452909831
113,1762.914118095948,0.9930049777424274
114,2002.2003718155845,0.993701120204071
115,2273.965752357932,0.9943308783991193
116,2582.6187606826797,0.9949001707775701
117,2933.166278390049,0.9954144338023104
118,3331.294787934677,0.9958786829571163
119,3783.462617131933,0.9962975299286521
120,4297.004704320843,0.996675164048892
121,4880.2515836544335,0.997015473177922
122,5542.664520663107,0.9973219587604975
123,6294.988990221888,0.9975978398477121
124,7149.428986597591,0.9978460663627514
125,8119.844993184026,0.9980692976588337
126,9221.97882333434,0.9982699422968344
127,10473.708979594508,0.9984502146768497
128,11895.34067370321,0.9986121215741222
129,13509.935211980279,0.9987574757772367
130,15343.684089300132,0.9988879222967106
131,17426.333860096507,0.9990049492667903
132,19791.668678535574,0.9991099016618458
133,22478.058335487298,0.9992039769844969
134,25529.080682395215,0.99928824696723
135,28994.22853882881,0.9993637433670844
136,32929.71255097155,0.9994314199668363
137,37399.373024788016,0.999491983373336
138,42475.71552536903,0.999546123564078
139,48241.08704165374,0.9995947086705798
140,54789.01179593945,0.9996380231545828
141,62225.70836730231,0.9996768774361228
142,70671.81273927505,0.9997115218863695
143,80264.3352225719,0.9997426078164487
