,times,pi/3,pi/4,pi/5
0,0.001,0.0010987938660312422,0.0009106887592134959,0.0009794203921731045
1,0.0011489510001873086,0.0012622035446187936,0.0010461201899867832,0.001125077044669473
2,0.001320088400831418,0.0014498712224220737,0.0012016550701273501,0.0012923562353005526
3,0.0015167168884709225,0.0016653839724044505,0.0013802657431122949,0.0014844553115307927
4,0.0017426333860096506,0.0019128548261155395,0.00158536024966307,0.0017050404296980357
5,0.0020022003718155844,0.00219699846704517,0.0018208449899498058,0.001958314021426395
6,0.002300430119772917,0.002523217361616738,0.0020911960126876682,0.0022490915622089876
7,0.0026430814869741054,0.002897699619781448,0.0024015399942738094,0.0025828887932130107
8,0.0030367711180354575,0.0033275299887594286,0.0027577460606842408,0.002966020646387904
9,0.0034891012134067737,0.003820815487860727,0.003166529687585457,0.003405713215069215
10,0.004008806328898464,0.004386827284516031,0.003635569988702706,0.0039102301964831915
11,0.004605922041145103,0.005036160426203311,0.004173641709476701,0.0044890152434958145
12,0.005291978735958442,0.005780913150529065,0.004790763306723204,0.005152851748042304
13,0.00608022426164942,0.00663488736472444,0.005498362408275024,0.005914041480326714
14,0.006985879746785249,0.0076138117710865824,0.006309459810921095,0.0067866033857381484
15,0.008026433522257174,0.008735588844714414,0.007238872939297618,0.00778649360104027
16,0.009221978823334321,0.010020566469686158,0.008303439330750388,0.00893184738971981
17,0.010595601792776159,0.011491834276274607,0.009522260060273322,0.010243243016016111
18,0.012173827277396614,0.013175543831136154,0.010916962205706838,0.011743986751890912
19,0.01398713102647238,0.01510125044005009,0.012511978268615883,0.013460416971539421
20,0.016070528182616384,0.01730227245933455,0.014334838834677531,0.015422223597249454
21,0.018464249428955432,0.019816061524506514,0.016416472603221235,0.017662776916372754
22,0.021214517849106298,0.022684574293266223,0.01879150521932273,0.020219457047813215
23,0.024374441501222203,0.025954631549269358,0.02149854503026943,0.023133971700067823
24,0.02800503894183631,0.029678246480709485,0.02458043858678472,0.026452644728169203
25,0.032176417502507354,0.03391289760893781,0.0280844755680052,0.030226654256709954
26,0.03696912707195026,0.03872171285874554,0.03206251312473277,0.034512189277309695
27,0.04247571552536898,0.044173526599888296,0.036570985320308454,0.039370489503832415
28,0.04880251583654431,0.05034276248160382,0.04167075520873137,0.04486772469928646
29,0.05607169938205458,0.057309080930939685,0.04742675942641983,0.051074660514794396
30,0.0644236350872137,0.06515672745316982,0.05390738083307028,0.05806604588422431
31,0.0740195999691564,0.07397351600076378,0.06118349564138864,0.06591966631778119
32,0.08504489341802676,0.08384936371787217,0.06932711630659753,0.07471498101983555
33,0.09771241535346496,0.09487431734927035,0.07840957649348791,0.08453129074640546
34,0.11226677735108136,0.1071360112980785,0.08849919381894493,0.09544537103244563
35,0.1289890261253308,0.12071652765147804,0.09965839021463124,0.10752854939906614
36,0.14820207057988585,0.13568866329729076,0.1119402590683988,0.12084321933639569
37,0.17027691722258995,0.15211167442113416,0.1253846401492087,0.13543885553540205
38,0.19563983435170626,0.17002662088308107,0.14001380596411514,0.15134763731957587
39,0.22478058335487253,0.1894515308300922,0.1558279601376167,0.16857988813484395
40,0.25826187606826745,0.21037668194617015,0.17280081027372257,0.18711960007476017
41,0.29673024081888694,0.2327603749553053,0.1908755696968625,0.20692040559046893
42,0.3409285069746811,0.25652562718554484,0.20996180293814468,0.22790240774306436
43,0.39171014908092566,0.28155823593908463,0.22993354778462835,0.24995031094608122
44,0.4500557675700497,0.30770661996037635,0.25062913731494363,0.2729132584016035
45,0.5170920242896755,0.3347837449346785,0.2718530597377416,0.29660670718472476
46,0.5941133984965034,0.3625712789642847,0.2933800500668803,0.3208165091403895
47,0.6826071834272386,0.390825919066778,0.3149614118992008,0.34530517949022027
48,0.7842822061337681,0.4192875902276041,0.3363333390153671,0.3698200852639374
49,0.9011018251665018,0.4476889982570599,0.35722677811567444,0.3941030877654746
50,1.0353218432956615,0.47576585338121746,0.37737817430346765,0.41790095903300745
51,1.1895340673703194,0.5032669854673536,0.39654032600087674,0.4409758007280985
52,1.366716356462006,0.5299635751330002,0.4144925342747929,0.4631146681509655
53,1.5702901247293775,0.5556568303117561,0.43104930702274685,0.48413769184936384
54,1.8041864093920719,0.5801836252074326,0.4460670225440361,0.5039041386006873
55,2.0729217795953696,0.6034198284636473,0.45944817023945184,0.522316090109952
56,2.381685551976158,0.6252813109904481,0.4711430285521773,0.5393196578146158
57,2.736439997074669,0.6457228081821099,0.48114884469892016,0.5549038521876776
58,3.1440354715914998,0.6647350042277226,0.4895067885245716,0.5690974339957846
59,3.6123426997094303,0.6823402618441622,0.4962970500069403,0.5819641673611436
60,4.150404757850472,0.6985875031910301,0.501632549090999,0.5935969583462962
61,4.768611697714469,0.7135466796555378,0.5056517138242311,0.6041113528538536
62,5.478901179593939,0.7273032355888055,0.5085107954866115,0.6136388419335644
63,6.294988990221888,0.7399528649571873,0.5103761206692838,0.6223203230649142
64,7.2326338964835335,0.7515967976886778,0.5114166604541726,0.6303000153239787
65,8.309941949353387,0.7623377396288328,0.5117972347748758,0.6377200384744378
66,9.547716114208056,0.7722765174094716,0.5116726301656938,0.6447157934646551
67,10.96985797892384,0.7815094470180851,0.5111828583414939,0.6514122286096178
68,12.603829296797274,0.7901263832241386,0.51044972471224,0.6579210231612453
69,14.48118227674533,0.7982093846922502,0.5095747988051381,0.6643386826858109
70,16.638168860761272,0.8058318969447056,0.5086387875253614,0.6707455005482001
71,19.116440753856995,0.8130584124173605,0.5077022103519377,0.6772053223261348
72,21.963853724165467,0.8199444788108223,0.506807174433511,0.6837659925080266
73,25.235391704347656,0.826537002032114,0.5059799625595556,0.690460379675599
74,28.99422853882875,0.8328747605925093,0.505234093492591,0.6973078501225853
75,33.3129478793467,0.8389890900282774,0.5045735122066048,0.7043160138082454
76,38.27494478516307,0.844904633930186,0.503995602090161,0.7114826458845666
77,43.97603609302721,0.8506401897441316,0.5034937836781536,0.7187976126787419
78,50.526310653356795,0.8562095304588655,0.5030595583120281,0.7262447496949901
79,58.05225516094895,0.8616222245838858,0.5026839760570561,0.7338035291481073
80,66.69919663030115,0.8668844173136617,0.5023585562812747,0.7414505628307162
81,76.63410868007446,0.8719995596197656,0.5020757643075379,0.7491608247744774
82,88.04883581643465,0.876969034980963,0.5018291794176987,0.7569086513418957
83,101.1637979766207,0.8817927462919165,0.5016134558700314,0.7646684912572728
84,116.23224686798518,0.8864695974101116,0.5014241939338748,0.7724154919828604
85,133.54515629298973,0.8909978961478151,0.5012577654882072,0.7801258824155536
86,153.436840893001,0.8953756797258542,0.501111163769045,0.7877772424939736
87,176.2914118095948,0.8996009812509654,0.5009818642368634,0.7953486794834977
88,202.55019392306664,0.9036720138259822,0.5008677249699816,0.8028209251859456
89,232.72024789604072,0.9075872932625408,0.5007669064900848,0.8101763812266859
90,267.38416158399434,0.9113457087158409,0.5006778210813533,0.8173991387306887
91,307.21129988617525,0.9149466243770719,0.5005990829383974,0.8244749703173556
92,352.970730273065,0.9183897705115613,0.5005294772377494,0.8313913021605313
93,405.54607358408276,0.9216753430402178,0.5004679430447845,0.8381371792720937
94,465.9525668664677,0.9248038357829744,0.500413543155252,0.8447032248639189
95,535.3566677410719,0.9277761490335257,0.5003654506002901,0.8510815724884656
