,times,gauss,flat
0,0.001,0.9985940808176811,0.9805149499867492
1,0.001096985797892384,0.9984590902043963,0.9786784282742582
2,0.0012033778407775893,0.9983111091791951,0.9766742854782814
3,0.001320088400831418,0.9981488983994115,0.9744882948685454
4,0.001448118227674533,0.9979711024530389,0.9721052306140716
5,0.0015885651294280526,0.9977762394260141,0.969508838552379
6,0.0017426333860096506,0.9975626896204851,0.9666818150089324
7,0.001911644075385702,0.997328683373242,0.9636057958508645
8,0.0020970464013232324,0.9970722879246154,0.9602613582459383
9,0.002300430119772917,0.9967913932901982,0.9566280378829375
10,0.0025235391704347657,0.9964836970915641,0.9526843646821432
11,0.0027682866303920667,0.9961466883072732,0.94840792027318
12,0.0030367711180354575,0.9957776299133887,0.9437754207344314
13,0.0033312947879346735,0.9953735403925352,0.9387628282742599
14,0.003654383070957254,0.9949311741041518,0.9333454957087299
15,0.004008806328898464,0.9944470005254317,0.9274983478110271
16,0.004397603609302721,0.9939171823938526,0.9211961039962687
17,0.004824108704165368,0.9933375528087417,0.9144135475980508
18,0.005291978735958442,0.992703591381525,0.9071258486129934
19,0.005805225516094896,0.9920103995634796,0.8993089499638218
20,0.006368249944718586,0.9912526753262688,0.8909400332728552
21,0.006985879746785249,0.9904246874258585,0.8819980803767882
22,0.007663410868007463,0.9895202495446841,0.8724640054060977
23,0.008406652885618324,0.9885326946819356,0.8623215346522956
24,0.009221978823334321,0.9874548502474779,0.8515577586233082
25,0.01011637979766207,0.9862790144126447,0.8401634110690617
26,0.011097524964120722,0.9849969343811747,0.8281333910146399
27,0.012173827277396614,0.9835997873668297,0.8154673770538843
28,0.013354515629298987,0.9820781652015106,0.8021706689521219
29,0.014649713983072856,0.9804220636506791,0.7882543709508868
30,0.01607052818261639,0.9786208776844586,0.7737362687578947
31,0.01762914118095948,0.9766634026244789,0.7586403894907325
32,0.01933891750455231,0.9745378198909375,0.7429964495598406
33,0.021214517849106298,0.972231766284044,0.726840754882216
34,0.023272024789604086,0.9697323591948003,0.7102163003247337
35,0.025529080682395178,0.9670262306042289,0.6931727640052701
36,0.02800503894183631,0.9640995868231657,0.6757638075342722
37,0.030721129988617576,0.9609382836409065,0.6580473711626096
38,0.03370064329271928,0.9575279179964746,0.6400863136845069
39,0.036969127071950283,0.9538539372591407,0.6219468400487255
40,0.040554607358408296,0.9499017674382807,0.6036948122670559
41,0.04448782831127586,0.945656962447393,0.5853980400261463
42,0.04880251583654431,0.9411053784574481,0.5671252146715905
43,0.05353566677410724,0.9362333812831736,0.5489409983862481
44,0.058727866131894825,0.931028082672623,0.5309091964869682
45,0.06442363508721373,0.9254775201558024,0.5130910298708556
46,0.07067181273927492,0.9195710747403223,0.49554112561064884
47,0.0775259748862946,0.9132994816123818,0.47831217336638304
48,0.08504489341802676,0.9066549790765412,0.4614496972520377
49,0.09329304026284686,0.8996315429964636,0.4449939289756645
50,0.10234114021054527,0.8922252143880485,0.42898067303240284
51,0.11226677735108136,0.884434350134915,0.41343744439882957
52,0.12315506032928263,0.8762600538621007,0.3983889010161048
53,0.13509935211980265,0.8677055595598021,0.3838511668135396
54,0.14820207057988585,0.8587763120958136,0.3698376601043583
55,0.1625755666443795,0.8494804076842086,0.35635480519458884
56,0.17834308769319093,0.8398291106393825,0.34340575805664425
57,0.19563983435170645,0.8298356720746348,0.3309889144215301
58,0.21461411978584036,0.8195150332959801,0.3190989256639032
59,0.23542864143224176,0.8088848663255033,0.3077277577684039
60,0.2582618760682677,0.7979650897940956,0.2968635562858305
61,0.2833096101839324,0.7867760485498317,0.28649340447436233
62,0.3107866187782014,0.7753401437915443,0.27660083804707325
63,0.3409285069746811,0.7636812873512105,0.2671695113912981
64,0.3739937302478798,0.751822746330322,0.2581799955058535
65,0.41026581058271944,0.7397896761105524,0.24961382321274247
66,0.4500557675700497,0.7276067289447514,0.24144995932711577
67,0.4937047852839004,0.7152980703761264,0.23366894768367635
68,0.541587137807947,0.7028889019919943,0.22624924778531613
69,0.5941133984965034,0.6904021063277014,0.21917136279135496
70,0.6517339604882427,0.6778616995327296,0.21241413722507585
71,0.7149428986597577,0.6652892569076377,0.20595880826520904
72,0.7842822061337681,0.6527065808218795,0.1997853163565667
73,0.86034644166845,0.6401336266949527,0.1938762501141978
74,0.9437878277775381,0.6275895834037113,0.18821319038151663
75,1.0353218432956626,0.6150923935550786,0.1827805370020815
76,1.135733358343105,0.6026585835556358,0.17756188503577794
77,1.245883364295008,0.5903037996599066,0.17254373360483558
78,1.3667163564620073,0.5780420177673359,0.16771188200264345
79,1.4992684327860457,0.5658864633669708,0.16305503015661726
80,1.6446761779946644,0.5538487573861036,0.1585611831728226
81,1.8041864093920719,0.5419397097425434,0.15422115868876288
82,1.9791668678535574,0.5301688326463512,0.15002500216411926
83,2.171117945694505,0.5185446154394824,0.1459654109639792
84,2.381685551976158,0.5070747285666012,0.14203419209733437
85,2.612675225563329,0.4957655028183049,0.13822558420536726
86,2.8660676169482504,0.48462301967266885,0.13453283804755725
87,3.1440354715914998,0.47365167257233304,0.13095135769882146
88,3.4489622604057595,0.4628561620646663,0.1274755509448056
89,3.7834626171319288,0.45223921774635933,0.12410162735902837
90,4.150404757850477,0.4418043117611147,0.12082493825942028
91,4.552935074866948,0.4315527807740973,0.11764218817225941
92,4.99450511585514,0.42148711124659777,0.11454953701793429
93,5.478901179593945,0.41160766111276126,0.11154393922986162
94,6.010276782070382,0.4019151599566042,0.1086222816609246
95,6.593188271333548,0.39241011289121946,0.10578159948184296
