,time,density
0,0.001,0.9920869415237766
1,0.001135733358343105,0.9910260954911796
2,0.001289890261253308,0.98982503043726
3,0.0014649713983072863,0.9884657807615163
4,0.001663816886076129,0.9869282393588055
5,0.0018896523396912098,0.9851899475778483
6,0.0021461411978584036,0.9832258776292548
7,0.0024374441501222215,0.9810082114645116
8,0.0027682866303920667,0.9785061217139613
9,0.0031440354715914997,0.9756855622349562
10,0.0035707859649004624,0.9725090780293855
11,0.004055460735840828,0.968935647028019
12,0.004605922041145103,0.9649205693230893
13,0.005231099308056263,0.9604154224899745
14,0.0059411339849650335,0.9553681054130663
15,0.006747544053110692,0.9497229959464647
16,0.007663410868007463,0.943421250981705
17,0.008703591361485167,0.9364012791379616
18,0.009884959046625586,0.9285994168157842
19,0.011226677735108137,0.9199508364509814
20,0.012750512407130135,0.9103907107878254
21,0.014481182276745337,0.8998556481127646
22,0.016446761779946643,0.8882853999583783
23,0.01867913599020783,0.8756248243061149
24,0.021214517849106298,0.8618260644776565
25,0.02409403560239526,0.8468508768937354
26,0.027364399970746703,0.8306730126591884
27,0.03107866187782014,0.8132805306262021
28,0.0352970730273065,0.7946778976124824
29,0.04008806328898466,0.7748877187008236
30,0.045529350748669505,0.7539519416115288
31,0.05170920242896761,0.7319323962466496
32,0.058727866131894825,0.7089105653000352
33,0.06669919663030122,0.6849865323081983
34,0.07575250258771916,0.6602771148533504
35,0.08603464416684505,0.6349132565073778
36,0.097712415353465,0.6090368124737211
37,0.11097524964120721,0.5827969130057999
38,0.12603829296797275,0.5563461190749478
39,0.14314589375234799,0.5298365927391779
40,0.1625755666443795,0.5034164906021452
41,0.18464249428955445,0.47722675570570244
42,0.2097046401323233,0.45139843739213276
43,0.23816855519761582,0.4260506164660161
44,0.2704959730463137,0.4012889617488338
45,0.3072112998861759,0.37720489879484004
46,0.34891012134067734,0.35387533599894866
47,0.3962688638701478,0.33136286906111223
48,0.4500557675700497,0.30971637182968503
49,0.5111433483440171,0.28897187805318925
50,0.5805225516094901,0.26915366311151334
51,0.6593188271333548,0.25027544420640296
52,0.7488103857590023,0.23234163018094037
53,0.8504489341802686,0.21534856590859128
54,0.9658832241158709,0.19928572971126868
55,1.096985797892384,0.1841368546372767
56,1.245883364295008,0.16988095508862588
57,1.414991297434576,0.15649324903147346
58,1.60705281826164,0.1439459728456869
59,1.8251834943190444,0.13220909094893196
60,2.072921779595372,0.12125090588416464
61,2.354286414322418,0.11103857685093148
62,2.673841615839949,0.101538555947229
63,3.0367711180354604,0.09271695190894552
64,3.4489622604057595,0.08453983107097404
65,3.917101490809261,0.0769734648240502
66,4.448782831127586,0.06998453209248186
67,5.052631065335684,0.06354028449322296
68,5.738441648302399,0.057608680852560996
69,6.517339604882427,0.052158496709611105
70,7.401959996915645,0.047159413559623865
71,8.406652885618334,0.04258209155551639
72,9.547716114208066,0.03839822867442661
73,10.843659686896109,0.034580608512201794
74,12.315506032928262,0.031103138355263123
75,13.987131026472385,0.027940878608034524
