,times,d=0,d=1,d=200
0,0.001,0.4995004995001166,0.4997501249374753,0.4997501249374753
1,0.0011097524964120721,0.49944573884408416,0.4997227157343347,0.4997227157343347
2,0.0012315506032928262,0.49938498212349824,0.4996923018220548,0.4996923018220548
3,0.001366716356462006,0.49931757450326514,0.4996585542405712,0.4996585542405712
4,0.0015167168884709225,0.49924279002817534,0.4996211081136599,0.4996211081136599
5,0.0016831803533309566,0.4991598239902952,0.49957955875083737,0.49957955875083737
6,0.0018679135990207828,0.4990677844975826,0.4995334573308825,0.4995334573308825
7,0.002072921779595372,0.4989656831669983,0.49948230612448785,0.49948230612448785
8,0.002300430119772917,0.4988524248553741,0.4994255532073448,0.4994255532073448
9,0.0025529080682395165,0.4987267963364944,0.49936258661165456,0.49936258661165456
10,0.002833096101839324,0.4985874538267141,0.4992927278594253,0.4992927278594253
11,0.0031440354715915,0.49843290925154926,0.49921522481241765,0.49921522481241765
12,0.0034891012134067737,0.4982615151413491,0.4991292437748125,0.4991292437748125
13,0.003872038781812557,0.4980714480354882,0.4990338607686218,0.4990338607686218
14,0.004297004704320844,0.49786069027026925,0.4989280519067037,0.4989280519067037
15,0.004768611697714469,0.4976270100175477,0.49881068277137464,0.49881068277137464
16,0.005291978735958442,0.49736793943931484,0.4986804967074931,0.4986804967074931
17,0.005872786613189483,0.49708075082003605,0.4985361019269605,0.4985361019269605
18,0.00651733960488242,0.4967624305368183,0.4983759573174328,0.4983759573174328
19,0.007232633896483534,0.49640965073355103,0.49819835683843217,0.49819835683843217
20,0.008026433522257174,0.49601873856950207,0.4980014123846248,0.4980014123846248
21,0.00890735463861044,0.4955856429253227,0.49778303498713733,0.49778303498713733
22,0.009884959046625586,0.49510589847045616,0.49754091421942953,0.49754091421942953
23,0.010969857978923836,0.49457458702066814,0.49727249567286347,0.49727249567286347
24,0.012173827277396614,0.49398629615053524,0.49697495636014605,0.49697495636014605
25,0.013509935211980273,0.49333507485169864,0.4966451779116155,0.4966451779116155
26,0.014992684327860457,0.49261438707185257,0.49627971742916,0.49627971742916
27,0.01663816886076129,0.4918170625955528,0.49587477585417644,0.49587477585417644
28,0.018464249428955443,0.49093524549584805,0.49542616367399694,0.49542616367399694
29,0.020490746898158472,0.48996034094035734,0.49492926426769424,0.49492926426769424
30,0.022739657523579287,0.48888296078257576,0.49437899426179915,0.49437899426179915
31,0.02523539170434766,0.4876928687092941,0.49376976118514976,0.49376976118514976
32,0.02800503894183631,0.48637892595275295,0.4930954184421335,0.4930954184421335
33,0.03107866187782014,0.4849290388558559,0.49234921769517515,0.49234921769517515
34,0.03448962260405758,0.48333010991104863,0.49152375885802146,0.49152375885802146
35,0.038274944785163134,0.4815679942714603,0.49061093801719485,0.49061093801719485
36,0.04247571552536898,0.4796274641674389,0.489601893743111,0.489601893743111
37,0.047137531341167244,0.47749218414628264,0.48848695242662665,0.48848695242662665
38,0.05231099308056263,0.4751447005885934,0.4872555734868876,0.4872555734868876
39,0.05805225516094899,0.47256644954309046,0.48589629555117375,0.48589629555117375
40,0.06442363508721373,0.4697377875475507,0.4843966850034573,0.4843966850034573
41,0.07149428986597581,0.4666380507921976,0.4827432886464066,0.4827432886464066
42,0.07934096665797492,0.4632456487274292,0.48092159262204104,0.48092159262204104
43,0.08804883581643465,0.45953819909635096,0.47891599018629416,0.47891599018629416
44,0.09771241535346502,0.45549270663246433,0.4767097614434868,0.4767097614434868
45,0.1084365968689611,0.4510857833724923,0.47428506870238674,0.47428506870238674
46,0.12033778407775893,0.4462939612979103,0.4716229717291751,0.4716229717291751
47,0.13354515629298988,0.44109402461680963,0.4687034678343056,0.4687034678343056
48,0.14820207057988585,0.435463424536854,0.4655055624625674,0.4655055624625674
49,0.16446761779946645,0.4293807729997571,0.4620073767794585,0.4620073767794585
50,0.18251834943190443,0.4228264188761285,0.4581862971674461,0.4581862971674461
51,0.20255019392306664,0.4157830501761289,0.45401915831076933,0.45401915831076933
52,0.22478058335487253,0.4082363866239689,0.449482516361289,0.449482516361289
53,0.24945081352303167,0.40017582383552874,0.4445529449977289,0.4445529449977289
54,0.27682866303920667,0.39159521684905574,0.4392074034988749,0.4392074034988749
55,0.3072112998861759,0.3824936274344658,0.4334236812079077,0.4334236812079077
56,0.34092850697468147,0.37287596486476077,0.42718092541622765,0.42718092541622765
57,0.3783462617131929,0.36275354759413764,0.42046021490703517,0.42046021490703517
58,0.419870708444391,0.35214473898916127,0.4132452121650525,0.4132452121650525
59,0.4659525668664682,0.3410751607959983,0.4055228107770119,0.4055228107770119
60,0.517092024289676,0.32957789199987875,0.39728384943640627,0.39728384943640627
61,0.5738441648302398,0.31769346842042945,0.38852390146780996,0.38852390146780996
62,0.6368249944718586,0.3054694257697052,0.3792439811601857,0.3792439811601857
63,0.7067181273927491,0.2929599229325769,0.3694511083742967,0.3694511083742967
64,0.7842822061337682,0.2802247303501315,0.35915898711511374,0.35915898711511374
65,0.8703591361485166,0.2673283400956514,0.34838846869903484,0.34838846869903484
66,0.9658832241158708,0.2543386165044977,0.33716768828956106,0.33716768828956106
67,1.0718913192051276,0.2413253953941718,0.32553235538451064,0.32553235538451064
68,1.1895340673703196,0.22835909063224627,0.31352541768578457,0.31352541768578457
69,1.3200884008314182,0.21550904016206493,0.3011968056907006,0.3011968056907006
70,1.4649713983072863,0.20284211289868812,0.2886026678721361,0.2886026678721361
71,1.625755666443795,0.1904213694465092,0.27580458468377683,0.27580458468377683
72,1.8041864093920719,0.1783048413923223,0.2628682913350309,0.2628682913350309
