,times,d=0,d=1,d=20
0,0.001,0.9960071305604252,0.9967885479525783,0.9979951511875379
1,0.0011097524964120721,0.9955718097344586,0.9964383287153591,0.997776573343014
2,0.0012315506032928262,0.9950891566115138,0.9960499652624439,0.9975341180906242
3,0.0013667163564620058,0.9945540786520791,0.9956193386330582,0.9972651906710193
4,0.0015167168884709225,0.9939609477938312,0.9951418932632253,0.9969669174912699
5,0.0016831803533309566,0.9933035469884133,0.9946125925905702,0.9966361168859265
6,0.0018679135990207828,0.9925750120622701,0.9940258705815966,0.9962692669799338
7,0.002072921779595372,0.9917677686505914,0.9933755789105678,0.9958624704055044
8,0.002300430119772917,0.990873463981794,0.9926549295274985,0.9954114156134902
9,0.0025529080682395165,0.9898828933325211,0.9918564323701167,0.9949113345103293
10,0.002833096101839324,0.9887859210338169,0.9909718280033273,0.9943569561451797
11,0.0031440354715914997,0.9875713959918481,0.9899920150124422,0.9937424561697296
12,0.0034891012134067737,0.9862270617965486,0.9889069720374121,0.993061401796459
13,0.0038720387818125574,0.9847394616344028,0.9877056744178158,0.9923066919923008
14,0.004297004704320844,0.9830938384044041,0.9863760055284501,0.9914704926650318
15,0.004768611697714469,0.9812740306660103,0.9849046630277206,0.9905441666327006
16,0.005291978735958442,0.9792623653336877,0.9832770604232083,0.9895181982147966
17,0.005872786613189483,0.9770395483834423,0.9814772245874784,0.9883821123516716
18,0.00651733960488242,0.9745845544237725,0.9794876901182403,0.9871243882501088
19,0.007232633896483534,0.971874519832963,0.9772893910049437,0.9857323676738963
20,0.008026433522257174,0.9688846407311834,0.9748615543169454,0.9841921581147127
21,0.00890735463861044,0.9655880771209288,0.9721815945653606,0.9824885308976773
22,0.009884959046625586,0.9619558703352294,0.9692250122930303,0.9806048168090775
23,0.010969857978923834,0.9579568780170783,0.9659653013100084,0.9785227977988393
24,0.012173827277396614,0.9535577327804561,0.9623738683352836,0.9762225971931587
25,0.01350993521198027,0.9487228317963492,0.9584199701528726,0.9736825704630027
26,0.014992684327860457,0.9434143657263206,0.954070674374751,0.9708791987435502
27,0.01663816886076129,0.9375923966854489,0.9492908509820123,0.9677869881067092
28,0.018464249428955443,0.931214996261545,0.9440432029831441,0.9643783783154075
29,0.020490746898158472,0.9242384560883652,0.9382883457810863,0.9606236656201643
30,0.022739657523579287,0.9166175851808909,0.9319849461923924,0.9564909450976306
31,0.02523539170434766,0.9083060925015845,0.9250899335638413,0.9519460790756332
32,0.02800503894183631,0.8992570867610408,0.9175587955828879,0.9469526993371143
33,0.03107866187782014,0.8894237031269708,0.9093459492438928,0.9414722520432743
34,0.03448962260405758,0.8787598246078594,0.900405257142326,0.9354640956703476
35,0.03827494478516313,0.8672209687783444,0.890690620849574,0.9288856637453761
36,0.04247571552536898,0.8547653342018758,0.8801567068439375,0.9216927054247628
37,0.047137531341167244,0.841354940639998,0.8687598258257815,0.9138395967894049
38,0.05231099308056263,0.8269569128547352,0.8564589578296498,0.9052797832194055
39,0.05805225516094899,0.8115447820942352,0.8432168710918942,0.8959663098121943
40,0.06442363508721373,0.79510000294044,0.8290013628240307,0.8858524679019584
41,0.0714942898659758,0.7776134217793961,0.8137865575930248,0.87489259098899
42,0.07934096665797491,0.7590866058962658,0.7975543884021566,0.8630430065828989
43,0.08804883581643463,0.7395332566656663,0.7802960060936676,0.8502630905558056
44,0.097712415353465,0.7189803866553548,0.7620130632632323,0.8365164817208359
45,0.10843659686896108,0.6974690975312786,0.7427191252169381,0.821772324211376
46,0.12033778407775894,0.6750553557996211,0.7224407344984639,0.8060067167361546
47,0.13354515629298985,0.6518099554138006,0.7012182177210361,0.7892041941105861
48,0.14820207057988585,0.6278184549546889,0.679106356116165,0.7713591228311509
49,0.16446761779946645,0.603180203563282,0.6561743771969021,0.7524770849865101
50,0.18251834943190445,0.578007190231017,0.6325058163537816,0.7325762774223314
51,0.20255019392306664,0.5524222064404215,0.60819760734963,0.7116884256210496
52,0.22478058335487253,0.5265565670214907,0.5833588703711712,0.6898597332360306
53,0.24945081352303167,0.5005475637190716,0.5581091902835246,0.6671512393987091
54,0.27682866303920667,0.4745355806921085,0.5325763383657798,0.6436389021313031
55,0.3072112998861759,0.44866104827470094,0.5068938174597234,0.6194130914527461
56,0.3409285069746814,0.4230614382377353,0.4811980733142221,0.5945777338753601
57,0.3783462617131929,0.39786839859929524,0.45562557495644795,0.5692487090995848
58,0.419870708444391,0.3732051172843231,0.4303099064840603,0.5435520220453284
59,0.4659525668664682,0.34918406823300663,0.40537901155226014,0.5176213862551495
60,0.517092024289676,0.3259052028029414,0.38095268694128,0.49159546401963433
61,0.5738441648302398,0.3034546362273186,0.35714042616992925,0.4656149892048353
62,0.6368249944718586,0.2819038481879253,0.33403969263495403,0.4398197181041273
63,0.7067181273927491,0.26130938311545804,0.3117346696274389,0.41434544409790713
64,0.7842822061337681,0.24171300905858284,0.2902955012393847,0.3893211836011252
65,0.8703591361485166,0.22314228995406002,0.2697780086168443,0.3648666718358293
66,0.9658832241158709,0.205611475517404,0.2502238424802669,0.3410902550925737
67,1.0718913192051274,0.18912264703192183,0.23166101592583643,0.31808724864692695
68,1.1895340673703194,0.17366704160160326,0.21410475094058526,0.29593879960673747
69,1.320088400831418,0.1592264822754449,0.19755856705142877,0.2747112614724407
70,1.4649713983072865,0.1457748381581961,0.18201553995527942,0.2544560578479693
71,1.625755666443795,0.13327946010681743,0.16745964488611925,0.23520998927076534
72,1.8041864093920719,0.12170255499455575,0.15386714497083925,0.2169959204243817
