,times,pi/4,pi/3,pi/5
0,0.001,0.9980044896834709,0.9980043652653586,0.9980044421599753
1,0.0011097524964120721,0.9977860228902237,0.9977858697412426,0.9977859643925139
2,0.0012315506032928262,0.997543704763262,0.99754351625936,0.9975436327611729
3,0.001366716356462006,0.9972749465910129,0.9972747145847861,0.9972748579725066
4,0.0015167168884709225,0.9969768822191406,0.9969765966908951,0.9969767731570368
5,0.0016831803533309566,0.9966463391287723,0.9966459877582114,0.9966462049171296
6,0.0018679135990207828,0.996279806688016,0.9962793743285889,0.9962796415413597
7,0.002072921779595372,0.9958734013447701,0.9958728693789268,0.9958731981518283
8,0.002300430119772917,0.9954228285206379,0.9954221740692448,0.9954225785423412
9,0.0025529080682395165,0.9949233409602577,0.99492253591377,0.9949230334596999
10,0.002833096101839324,0.9943696932891198,0.9943687031208499,0.9943693150782481
11,0.0031440354715915,0.993756092536319,0.9937548748497469,0.9937556274210668
12,0.0034891012134067737,0.9930761443894736,0.9930746471411703,0.9930755724909546
13,0.003872038781812557,0.9923227949682033,0.9923209542954742,0.992322091892941
14,0.004297004704320844,0.9914882679330882,0.9914860055006769,0.991487403759534
15,0.004768611697714469,0.9905639967916006,0.9905612165538956,0.9905629348333755
16,0.005291978735958442,0.989540552324602,0.9895371365785565,0.9895392476228099
17,0.005872786613189483,0.9884075651405326,0.988403369719358,0.9884059626278672
18,0.00651733960488242,0.987153643474364,0.9871484919022108,0.9871516757422918
19,0.007232633896483534,0.9857662864898975,0.9857599628827638,0.9857638710769233
20,0.008026433522257174,0.9842317931898935,0.9842240337098556,0.9842288293174917
21,0.00890735463861044,0.9825351685400155,0.9825256508576937,0.9825315330860445
22,0.009884959046625586,0.9806600273284188,0.9806483580724795,0.98065557003461
23,0.010969857978923836,0.9785884959868756,0.9785741955701225,0.9785830336615966
24,0.012173827277396614,0.9763011152633898,0.9762835996287069,0.9762944248083107
25,0.013509935211980273,0.9737767455161166,0.973755304244215,0.9737685555627428
26,0.014992684327860457,0.9709924773310253,0.970966247463844,0.9709824582400938
27,0.01663816886076129,0.9679235508113502,0.9678914856569084,0.967911302754288
28,0.018464249428955443,0.9645432876223435,0.9645041197164927,0.9645283264293059
29,0.020490746898158472,0.9608230407028769,0.960775238012406,0.9608047811269105
30,0.022739657523579287,0.956732167473835,0.9566738818389088,0.9567099034872253
31,0.02523539170434766,0.9522380333805881,0.9521670401150256,0.9522109150885267
32,0.02800503894183631,0.9473060537034437,0.9472196812021805,0.947273060432851
33,0.03107866187782014,0.9418997827679837,0.9417948309100355,0.9418596918645536
34,0.03448962260405758,0.9359810610269549,0.9358537070990391,0.9359324118674162
35,0.038274944785163134,0.9295102271556025,0.9293559210931259,0.9294512812135212
36,0.04247571552536898,0.9224463988678988,0.9222597419727288,0.9223750929436585
37,0.047137531341167244,0.9147478679352414,0.9145224788307955,0.9146617632718279
38,0.05231099308056263,0.90637255768043,0.9061009292026547,0.906268784874076
39,0.05805225516094899,0.8972786026998827,0.8969519423445271,0.8971538004355233
40,0.06442363508721373,0.8874250550849621,0.8870331112397226,0.8872753032790668
41,0.07149428986597581,0.8767727091333857,0.8763035965804019,0.876593462362928
42,0.07934096665797492,0.8652850258276366,0.864725042831762,0.8650710422973442
43,0.08804883581643465,0.85292915600208,0.8522626257372016,0.8526744364377927
44,0.09771241535346502,0.8396770523554966,0.8388861493005157,0.8393747712505367
45,0.1084365968689611,0.8255067235421063,0.8245713291722484,0.8251491743296893
46,0.12033778407775893,0.810403465729676,0.8093010679366645,0.8099820196235141
47,0.13354515629298988,0.7943610191506884,0.7930666650102846,0.7938661030017726
48,0.14820207057988585,0.7773828522493551,0.7758691172475158,0.7768039338812309
49,0.16446761779946645,0.7594831854696009,0.7577202838476543,0.7588088140068745
50,0.18251834943190443,0.7406878419268709,0.73864375045619,0.7399056852087115
51,0.20255019392306664,0.7210349978837576,0.7186757363622795,0.7201319489431102
52,0.22478058335487253,0.7005753996564899,0.6978653701231683,0.6995376915555169
53,0.24945081352303167,0.6793724878677817,0.6762749543694931,0.6781858758457434
54,0.27682866303920667,0.6575018727887556,0.6539794901547129,0.6561518218010964
55,0.3072112998861759,0.6350505770863086,0.631066091220822,0.6335225178708642
56,0.34092850697468147,0.6121158023272832,0.6076327021346366,0.6103953743473953
57,0.3783462617131929,0.5888032264160669,0.5837865498880073,0.5868765683309507
58,0.419870708444391,0.5652250992785239,0.5596422237551801,0.5630791392453476
59,0.4659525668664682,0.5414980092757983,0.5353193875896266,0.5391207419974043
60,0.517092024289676,0.5177404603320646,0.5109403241748148,0.5151211999947101
61,0.5738441648302398,0.4940704132547554,0.4866274247058275,0.49120003169658016
62,0.6368249944718586,0.4706028895093682,0.46250064397433926,0.4674740100639735
63,0.7067181273927491,0.4474477066619843,0.4386751101247918,0.4440548378046422
64,0.7842822061337682,0.4247074567303476,0.41525895297139387,0.4210470820377175
65,0.8703591361485166,0.4024758104046353,0.39235144922361703,0.39854641664076423
66,0.9658832241158708,0.3808361862357989,0.3700415400851324,0.3766382367131098
67,1.0718913192051276,0.35986081628485633,0.3484067549702309,0.3553966728456469
68,1.1895340673703196,0.3396102101020555,0.32751255075989777,0.334884009829004
69,1.3200884008314182,0.3201329972296386,0.30741205282302775,0.31515049291140335
70,1.4649713983072863,0.30146610943822816,0.28814616463324516,0.2962344865015048
71,1.625755666443795,0.2836352656295755,0.269743998396381,0.2781629306886502
72,1.8041864093920719,0.26665568241769727,0.25222356925510303,0.26095205521762405
73,2.0022003718155843,0.25053296427697813,0.23559268331563124,0.24460826951103387
74,2.2219468609395236,0.23526411542054196,0.2198499806641557,0.22912917859573903
75,2.4658110758226037,0.22083862034942348,0.20498604495377934,0.2145046756906322
76,2.736439997074672,0.2072395459910948,0.1909845484826775,0.2007180613571889
77,3.0367711180354604,0.19444461324324816,0.17782339153547486,0.1877471480372997
78,3.370064329271928,0.18242723415602782,0.16547579853565755,0.17556530500275117
79,3.739937302478798,0.17115746001537116,0.15391134138254242,0.16414244808753872
