,times,pi/4,pi/3,pi/5
0,0.001,0.0,0.0003864136645577624,0.00014120031005663707
1,0.0011097524964120721,0.0,0.000428804621583209,0.00015669487183999207
2,0.0012315506032928262,0.0,0.0004758437162137513,0.0001738894159642432
3,0.001366716356462006,0.0,0.0005280400807694497,0.00019297038443540985
4,0.0015167168884709225,0.0,0.0005859584919961916,0.00021414465042073153
5,0.0016831803533309566,0.0,0.000650225424081632,0.00023764175337400177
6,0.0018679135990207828,0.0,0.0007215357535165067,0.00026371637779788623
7,0.002072921779595372,0.0,0.0008006601844705001,0.0002926511019885238
8,0.002300430119772917,0.0,0.0008884534702204734,0.00032475944592849615
9,0.0025529080682395165,0.0,0.0009858635136532807,0.0003603892505618331
10,0.002833096101839324,0.0,0.0010939414379760063,0.00039992642410885843
11,0.0031440354715915,0.0,0.0012138527275511533,0.00044379909480543725
12,0.0034891012134067737,0.0,0.0013468895482288423,0.0004924822135929625
13,0.003872038781812557,0.0,0.0014944843667143428,0.0005465026547838728
14,0.004297004704320844,0.0,0.0016582249993717414,0.0006064448677068397
15,0.004768611697714469,0.0,0.001839871232392688,0.0006729571377723484
16,0.005291978735958442,0.0,0.002041373167452343,0.0007467585213278888
17,0.005872786613189483,0.0,0.0022648914597242754,0.0008286465251865783
18,0.00651733960488242,0.0,0.0025128196283473584,0.000919505608759113
19,0.007232633896483534,0.0,0.0027878086329939026,0.0010203165944293355
20,0.008026433522257174,0.0,0.0030927939238068586,0.0011321670801223848
21,0.00890735463861044,0.0,0.0034310251854675986,0.0012562629570315475
22,0.009884959046625586,0.0,0.0038060990090237855,0.0013939411451593556
23,0.010969857978923836,0.0,0.004221994736968492,0.001546683669717293
24,0.012173827277396614,0.0,0.004683113737190658,0.001716133212515313
25,0.013509935211980273,0.0,0.00519432236905327,0.0019041102842343282
26,0.014992684327860457,0.0,0.005760998908981897,0.002112632175851069
27,0.01663816886076129,0.0,0.006389084702253814,0.002343933860402638
28,0.018464249428955443,0.0,0.007085139800647098,0.002600491029643823
29,0.020490746898158472,0.0,0.007856403330277721,0.0028850454637307545
30,0.022739657523579287,0.0,0.008710858807997312,0.003200632945698292
31,0.02523539170434766,0.0,0.009657305173537611,0.0035506139458156864
32,0.02800503894183631,0.0,0.010705434971797413,0.0039387073135096476
33,0.03107866187782014,0.0,0.01186590996422958,0.004369027237297109
34,0.03448962260405758,0.0,0.01315044914482177,0.004846123774913099
35,0.038274944785163134,0.0,0.014571920438438442,0.005375026966644511
36,0.04247571552536898,0.0,0.01614443657407504,0.0059612951638677225
37,0.047137531341167244,0.0,0.01788345504863491,0.006611067646921104
38,0.05231099308056263,0.0,0.019805881345066424,0.0073311217959231515
39,0.05805225516094899,0.0,0.02193017425138131,0.008128935066668569
40,0.06442363508721373,0.0,0.02427645174698281,0.009012751978809517
41,0.07149428986597581,0.0,0.02686659547376043,0.00999165627933016
42,0.07934096665797492,0.0,0.02972434753482142,0.011075648382263261
43,0.08804883581643465,0.0,0.032875379380061284,0.012275728101598472
44,0.09771241535346502,0.0,0.036347421189859966,0.013603982511551777
45,0.1084365968689611,0.0,0.04017031683752564,0.015073678182949957
46,0.12033778407775893,0.0,0.04437606511225309,0.016699359770316523
47,0.13354515629298988,0.0,0.04899883975127741,0.018496951113420663
48,0.14820207057988585,0.0,0.05407497476426472,0.02048385937717516
49,0.16446761779946645,0.0,0.059642905749153916,0.022679081075159743
50,0.18251834943190443,0.0,0.06574305546408106,0.025103308103743286
51,0.20255019392306664,0.0,0.07241764795075159,0.02777903158807838
52,0.22478058335487253,0.0,0.07971042856934345,0.030730640729799124
53,0.24945081352303167,0.0,0.08766625472781425,0.03398451310671424
54,0.27682866303920667,0.0,0.09633072601486568,0.03756909197092684
55,0.3072112998861759,0.0,0.10574971637536842,0.04151494496391429
56,0.34092850697468147,0.0,0.11596830662675514,0.04585480613348849
57,0.3783462617131929,0.0,0.12703038591157065,0.050623627116547186
58,0.419870708444391,0.0,0.13897778034481473,0.05585842017150733
59,0.4659525668664682,0.0,0.15184907743748452,0.06159822320912002
60,0.517092024289676,0.0,0.1656779853515358,0.06788398198797298
61,0.5738441648302398,0.0,0.18049237354079714,0.07475835269216426
62,0.6368249944718586,0.0,0.19631237797245504,0.0822654297367987
63,0.7067181273927491,0.0,0.2131505820980177,0.09045038388736186
64,0.7842822061337682,0.0,0.23101035370569487,0.09935898723898945
65,0.8703591361485166,0.0,0.24988360997271697,0.1090369829644474
66,0.9658832241158708,0.0,0.2697486417683427,0.11952921884990206
67,1.0718913192051276,0.0,0.2905744577985225,0.13087891806022306
68,1.1895340673703196,0.0,0.3123145101830986,0.14312620696192893
69,1.3200884008314182,0.0,0.3349057516027485,0.15630787136321175
